player_name,position,age,market_value_eur,club,season
Tom McGill,Goalkeeper,22.0,,Brighton And Hove Albion,2122
Lewis Dunk,Centre-Back,30.0,20000000.0,Brighton And Hove Albion,2122
Adam Webster,Centre-Back,27.0,17000000.0,Brighton And Hove Albion,2122
Dan Burn,Centre-Back,30.0,12000000.0,Brighton And Hove Albion,2122
Jan Paul van Hecke,Centre-Back,22.0,5000000.0,Brighton And Hove Albion,2122
Shane Duffy,Centre-Back,30.0,5000000.0,Brighton And Hove Albion,2122
Matt Clarke,Centre-Back,25.0,3000000.0,Brighton And Hove Albion,2122
Antef Tsoungui,Centre-Back,19.0,300000.0,Brighton And Hove Albion,2122
Ed Turns,Centre-Back,19.0,200000.0,Brighton And Hove Albion,2122
Odeluga Offiah,Centre-Back,19.0,200000.0,Brighton And Hove Albion,2122
Marc Cucurella,Left-Back,23.0,28000000.0,Brighton And Hove Albion,2122
Michal Karbownik,Left-Back,21.0,2500000.0,Brighton And Hove Albion,2122
Haydon Roberts,Left-Back,20.0,500000.0,Brighton And Hove Albion,2122
James Furlong,Left-Back,20.0,,Brighton And Hove Albion,2122
Tariq Lamptey,Right-Back,21.0,18000000.0,Brighton And Hove Albion,2122
Joël Veltman,Right-Back,30.0,10000000.0,Brighton And Hove Albion,2122
Yves Bissouma,Defensive Midfield,25.0,35000000.0,Brighton And Hove Albion,2122
Moisés Caicedo,Defensive Midfield,20.0,6000000.0,Brighton And Hove Albion,2122
Tudor Băluță,Defensive Midfield,23.0,1800000.0,Brighton And Hove Albion,2122
Enock Mwepu,Central Midfield,24.0,18000000.0,Brighton And Hove Albion,2122
Alexis Mac Allister,Central Midfield,23.0,16000000.0,Brighton And Hove Albion,2122
Jakub Moder,Central Midfield,23.0,12000000.0,Brighton And Hove Albion,2122
Pascal Groß,Central Midfield,31.0,6000000.0,Brighton And Hove Albion,2122
Steven Alzate,Central Midfield,23.0,5000000.0,Brighton And Hove Albion,2122
Taylor Richards,Central Midfield,21.0,400000.0,Brighton And Hove Albion,2122
Marc Leonard,Central Midfield,20.0,300000.0,Brighton And Hove Albion,2122
Adam Lallana,Attacking Midfield,34.0,2000000.0,Brighton And Hove Albion,2122
Andrew Moran,Attacking Midfield,18.0,300000.0,Brighton And Hove Albion,2122
Leandro Trossard,Left Winger,27.0,20000000.0,Brighton And Hove Albion,2122
Abdallah Sima,Left Winger,21.0,8000000.0,Brighton And Hove Albion,2122
Jeremy Sarmiento,Left Winger,20.0,3000000.0,Brighton And Hove Albion,2122
Solly March,Right Winger,27.0,9000000.0,Brighton And Hove Albion,2122
Neal Maupay,Centre-Forward,25.0,18000000.0,Brighton And Hove Albion,2122
Aaron Connolly,Centre-Forward,22.0,6000000.0,Brighton And Hove Albion,2122
Danny Welbeck,Centre-Forward,31.0,4000000.0,Brighton And Hove Albion,2122
Andi Zeqiri,Centre-Forward,23.0,2300000.0,Brighton And Hove Albion,2122
Jürgen Locadia,Centre-Forward,28.0,2000000.0,Brighton And Hove Albion,2122
Florin Andone,Centre-Forward,29.0,1000000.0,Brighton And Hove Albion,2122
Evan Ferguson,Centre-Forward,17.0,600000.0,Brighton And Hove Albion,2122
Nick Pope,Goalkeeper,30.0,15000000.0,Burnley Fc,2122
Bailey Peacock-Farrell,Goalkeeper,25.0,900000.0,Burnley Fc,2122
Wayne Hennessey,Goalkeeper,35.0,500000.0,Burnley Fc,2122
Will Norris,Goalkeeper,28.0,300000.0,Burnley Fc,2122
Lukas Jensen,Goalkeeper,23.0,50000.0,Burnley Fc,2122
Sam Waller,Goalkeeper,18.0,,Burnley Fc,2122
James Tarkowski,Centre-Back,29.0,22000000.0,Burnley Fc,2122
Nathan Collins,Centre-Back,21.0,10000000.0,Burnley Fc,2122
Ben Mee,Centre-Back,32.0,2500000.0,Burnley Fc,2122
Kevin Long,Centre-Back,31.0,1000000.0,Burnley Fc,2122
Bobby Thomas,Centre-Back,21.0,200000.0,Burnley Fc,2122
Charlie Taylor,Left-Back,28.0,3000000.0,Burnley Fc,2122
Erik Pieters,Left-Back,33.0,900000.0,Burnley Fc,2122
Owen Dodgson,Left-Back,19.0,,Burnley Fc,2122
Connor Roberts,Right-Back,26.0,2500000.0,Burnley Fc,2122
Matthew Lowton,Right-Back,33.0,1200000.0,Burnley Fc,2122
Phil Bardsley,Right-Back,37.0,250000.0,Burnley Fc,2122
Ashley Westwood,Defensive Midfield,32.0,2000000.0,Burnley Fc,2122
Jack Cork,Defensive Midfield,33.0,1800000.0,Burnley Fc,2122
Josh Brownhill,Central Midfield,26.0,7000000.0,Burnley Fc,2122
Dale Stephens,Central Midfield,33.0,1000000.0,Burnley Fc,2122
Mark Helm,Central Midfield,20.0,,Burnley Fc,2122
Lewis Richardson,Right Midfield,19.0,,Burnley Fc,2122
Anthony Gomez-Mancini,Attacking Midfield,21.0,250000.0,Burnley Fc,2122
Dwight McNeil,Left Winger,22.0,18000000.0,Burnley Fc,2122
Maxwel Cornet,Left Winger,25.0,15000000.0,Burnley Fc,2122
Dara Costelloe,Left Winger,19.0,,Burnley Fc,2122
Jóhann Berg Gudmundsson,Right Winger,31.0,2000000.0,Burnley Fc,2122
Aaron Lennon,Right Winger,35.0,1000000.0,Burnley Fc,2122
Wout Weghorst,Centre-Forward,29.0,14000000.0,Burnley Fc,2122
Chris Wood,Centre-Forward,30.0,10000000.0,Burnley Fc,2122
Jay Rodríguez,Centre-Forward,32.0,2000000.0,Burnley Fc,2122
Matej Vydra,Centre-Forward,30.0,2000000.0,Burnley Fc,2122
Ashley Barnes,Centre-Forward,32.0,1500000.0,Burnley Fc,2122
Joe McGlynn,Centre-Forward,19.0,,Burnley Fc,2122
Edouard Mendy,Goalkeeper,30.0,32000000.0,Chelsea Fc,2122
Kepa Arrizabalaga,Goalkeeper,27.0,10000000.0,Chelsea Fc,2122
Marcus Bettinelli,Goalkeeper,30.0,2000000.0,Chelsea Fc,2122
Lucas Bergström,Goalkeeper,19.0,,Chelsea Fc,2122
Teddy Sharman-Lowe,Goalkeeper,19.0,,Chelsea Fc,2122
Antonio Rüdiger,Centre-Back,29.0,40000000.0,Chelsea Fc,2122
Andreas Christensen,Centre-Back,26.0,35000000.0,Chelsea Fc,2122
Kurt Zouma,Centre-Back,27.0,28000000.0,Chelsea Fc,2122
Trevoh Chalobah,Centre-Back,22.0,20000000.0,Chelsea Fc,2122
Marcos Alonso,Centre-Back,31.0,12000000.0,Chelsea Fc,2122
César Azpilicueta,Centre-Back,32.0,9000000.0,Chelsea Fc,2122
Malang Sarr,Centre-Back,23.0,8000000.0,Chelsea Fc,2122
Thiago Silva,Centre-Back,37.0,2500000.0,Chelsea Fc,2122
Jake Clarke-Salter,Centre-Back,24.0,2000000.0,Chelsea Fc,2122
Xavier Mbuyamba,Centre-Back,20.0,500000.0,Chelsea Fc,2122
Ben Chilwell,Left-Back,25.0,38000000.0,Chelsea Fc,2122
Emerson,Left-Back,27.0,14000000.0,Chelsea Fc,2122
Abdul Rahman Baba,Left-Back,27.0,2200000.0,Chelsea Fc,2122
Dylan Williams,Left-Back,18.0,200000.0,Chelsea Fc,2122
Lewis Hall,Left-Back,17.0,,Chelsea Fc,2122
Reece James,Right-Back,22.0,60000000.0,Chelsea Fc,2122
