player_name,position,Age,market_value_eur,club,season
Neto,Goalkeeper,33.0,2500000.0,Afc Bournemouth,2223
Mark Travers,Goalkeeper,24.0,2000000.0,Afc Bournemouth,2223
Darren Randolph,Goalkeeper,36.0,400000.0,Afc Bournemouth,2223
Will Dennis,Goalkeeper,22.0,150000.0,Afc Bournemouth,2223
Cameron Plain,Goalkeeper,21.0,100000.0,Afc Bournemouth,2223
Marcos Senesi,Centre-Back,26.0,22000000.0,Afc Bournemouth,2223
Ilya Zabarnyi,Centre-Back,20.0,20000000.0,Afc Bournemouth,2223
Lloyd Kelly,Centre-Back,24.0,18000000.0,Afc Bournemouth,2223
Chris Mepham,Centre-Back,25.0,8000000.0,Afc Bournemouth,2223
Jack Stephens,Centre-Back,29.0,3500000.0,Afc Bournemouth,2223
James Hill,Centre-Back,21.0,1000000.0,Afc Bournemouth,2223
Chris Francis,Centre-Back,20.0,,Afc Bournemouth,2223
Max Kinsey,Centre-Back,18.0,,Afc Bournemouth,2223
Owen Bevan,Centre-Back,19.0,,Afc Bournemouth,2223
Matías Viña,Left-Back,25.0,8000000.0,Afc Bournemouth,2223
Jordan Zemura,Left-Back,23.0,6000000.0,Afc Bournemouth,2223
Ben Greenwood,Left-Back,21.0,100000.0,Afc Bournemouth,2223
Jack Stacey,Right-Back,27.0,2000000.0,Afc Bournemouth,2223
Ryan Fredericks,Right-Back,30.0,1500000.0,Afc Bournemouth,2223
Adam Smith,Right-Back,32.0,1200000.0,Afc Bournemouth,2223
Brooklyn Genesini,Right-Back,21.0,50000.0,Afc Bournemouth,2223
Jefferson Lerma,Defensive Midfield,28.0,20000000.0,Afc Bournemouth,2223
Ben Pearson,Defensive Midfield,28.0,2200000.0,Afc Bournemouth,2223
Jack Wadham Midfielder,,20.0,100000.0,Afc Bournemouth,2223
Philip Billing,Central Midfield,27.0,20000000.0,Afc Bournemouth,2223
Lewis Cook,Central Midfield,26.0,10000000.0,Afc Bournemouth,2223
Ryan Christie,Central Midfield,28.0,10000000.0,Afc Bournemouth,2223
Joe Rothwell,Central Midfield,28.0,4000000.0,Afc Bournemouth,2223
Gavin Kilkenny,Central Midfield,23.0,400000.0,Afc Bournemouth,2223
Ferdinand Okoh,Central Midfield,19.0,,Afc Bournemouth,2223
Marcus Tavernier,Attacking Midfield,24.0,17000000.0,Afc Bournemouth,2223
Emiliano Marcondes,Attacking Midfield,28.0,1500000.0,Afc Bournemouth,2223
Hamed Traoré,Left Winger,23.0,22000000.0,Afc Bournemouth,2223
Jaidon Anthony,Left Winger,23.0,9000000.0,Afc Bournemouth,2223
